"year","leading_cause","sex","race_ethnicity","deaths","death_rate","age_adjusted_death_rate"
2019,"Essential Hypertension and Renal Diseases (I10, I12)","Male","Non-Hispanic Black",185,22.32347561,22.76463114
2019,"Influenza (Flu) and Pneumonia (J09-J18)","Male","Hispanic",182,15.5322174,19.85821025
2019,"Cerebrovascular Disease (Stroke: I60-I69)","Male","Hispanic",182,15.5322174,19.55837808
2019,"Essential Hypertension and Renal Diseases (I10, I12)","Male","Non-Hispanic White",181,13.80952018,10.0100868
2019,"Chronic Lower Respiratory Diseases (J40-J47)","Female","Hispanic",178,14.2191604,12.85579621
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)","Male","Hispanic",174,14.84948257,16.10828575
2019,"Chronic Liver Disease and Cirrhosis (K70, K73-K74)","Male","Hispanic",171,14.59345701,15.95641278
2019,"Alzheimer's Disease (G30)","Female","Non-Hispanic Black",171,17.14932145,10.82707992
2019,"Chronic Lower Respiratory Diseases (J40-J47)","Male","Hispanic",170,14.50811516,18.82042264
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)","Female","Non-Hispanic White",167,12.17834937,7.049815954
2019,"Assault (Homicide: U01-U02, Y87.1, X85-Y09)","Male","Non-Hispanic Black",156,18.82411997,18.99230593
2019,"Influenza (Flu) and Pneumonia (J09-J18)","Female","Hispanic",156,12.46173608,11.18444404
2019,"Essential Hypertension and Renal Diseases (I10, I12)","Female","Hispanic",151,12.06232146,10.7897817
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)","Male","Non-Hispanic Black",150,18.10011536,17.77687704
2019,"Essential Hypertension and Renal Diseases (I10, I12)","Male","Hispanic",135,11.52115027,15.71279828
2019,"All Other Causes","Male","Not Stated/Unknown",125,153.7401914,251.283561
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)","Female","Non-Hispanic White",125,9.115530969,8.755260544
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)","Female","Non-Hispanic Black",120,12.03461154,10.40042785
2019,"Cerebrovascular Disease (Stroke: I60-I69)","Female","Asian and Pacific Islander",110,16.98366943,14.15550557
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)","Female","Not Stated/Unknown",110,121.6074291,161.6351392
2019,"Cerebrovascular Disease (Stroke: I60-I69)","Male","Asian and Pacific Islander",105,17.91928132,16.87065413
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)","Female","Hispanic",104,8.307824053,8.039053498
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)","Female","Hispanic",98,7.828526512,7.322347649
2019,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)","Female","Non-Hispanic Black",96,9.627689234,7.092763442
2019,"Influenza (Flu) and Pneumonia (J09-J18)","Male","Asian and Pacific Islander",92,15.70070363,15.27352088
2019,"Chronic Lower Respiratory Diseases (J40-J47)","Male","Asian and Pacific Islander",80,13.65278577,13.41842449
2019,"Diabetes Mellitus (E10-E14)","Female","Asian and Pacific Islander",78,12.0429656,9.944715133
2019,"Diabetes Mellitus (E10-E14)","Male","Asian and Pacific Islander",76,12.97014648,11.96179248
2019,"Malignant Neoplasms (Cancer: C00-C97)","Male","Not Stated/Unknown",75,92.24411483,146.1092186
2019,"Influenza (Flu) and Pneumonia (J09-J18)","Female","Asian and Pacific Islander",67,10.34459865,8.518144202
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)","Male","Other Race/ Ethnicity",66,NA,NA
2019,"Essential Hypertension and Renal Diseases (I10, I12)","Female","Asian and Pacific Islander",66,10.19020166,8.354977901
2019,"All Other Causes","Female","Not Stated/Unknown",64,70.7534133,88.7919256
2019,"Malignant Neoplasms (Cancer: C00-C97)","Female","Not Stated/Unknown",61,67.43684705,90.59242339
2019,"Essential Hypertension and Renal Diseases (I10, I12)","Male","Asian and Pacific Islander",56,9.556950036,9.228507274
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)","Male","Asian and Pacific Islander",52,8.874310748,8.389708675
2019,"Alzheimer's Disease (G30)","Female","Asian and Pacific Islander",50,7.719849741,6.207494885
2019,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)","Male","Asian and Pacific Islander",48,8.191671459,7.848126622
2019,"Alzheimer's Disease (G30)","Male","Asian and Pacific Islander",41,6.997052705,7.415199568
2019,"Chronic Lower Respiratory Diseases (J40-J47)","Female","Asian and Pacific Islander",40,6.175879793,5.084314882
2019,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)","Female","Asian and Pacific Islander",40,6.175879793,5.346443053
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)","Female","Asian and Pacific Islander",40,6.175879793,5.373332294
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)","Female","Other Race/ Ethnicity",39,NA,NA
2019,"Malignant Neoplasms (Cancer: C00-C97)","Female","Other Race/ Ethnicity",35,NA,NA
2019,"Diabetes Mellitus (E10-E14)","Male","Not Stated/Unknown",34,41.81733205,65.49320907
2019,"Malignant Neoplasms (Cancer: C00-C97)","Male","Other Race/ Ethnicity",32,NA,NA
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)","Female","Other Race/ Ethnicity",30,NA,NA
2019,"All Other Causes","Female","Other Race/ Ethnicity",28,NA,NA
2019,"All Other Causes","Male","Other Race/ Ethnicity",27,NA,NA
2019,"Chronic Lower Respiratory Diseases (J40-J47)","Male","Not Stated/Unknown",22,27.05827368,48.36535015
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)","Male","Other Race/ Ethnicity",19,NA,NA
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)","Male","Not Stated/Unknown",17,20.90866603,27.20905858
2019,"Malignant Neoplasms (Cancer: C00-C97)","Female","Other Race/ Ethnicity",17,NA,NA
2019,"All Other Causes","Female","Other Race/ Ethnicity",17,NA,NA
2019,"Malignant Neoplasms (Cancer: C00-C97)","Male","Other Race/ Ethnicity",15,NA,NA
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)","Male","Not Stated/Unknown",15,18.44882297,28.63593587
2019,"Diabetes Mellitus (E10-E14)","Female","Not Stated/Unknown",15,16.58283124,21.71794941
2019,"Influenza (Flu) and Pneumonia (J09-J18)","Male","Not Stated/Unknown",14,17.21890143,28.51477435
2019,"Mental and Behavioral Disorders due to Use of Alcohol (F10)","Male","Not Stated/Unknown",14,17.21890143,21.0146938
2019,"Certain Conditions originating in the Perinatal Period (P00-P96)","Male","Not Stated/Unknown",14,17.21890143,12.84231049
2019,"Chronic Liver Disease and Cirrhosis (K70, K73-K74)","Male","Not Stated/Unknown",14,17.21890143,24.15790476
2019,"Diabetes Mellitus (E10-E14)","Female","Other Race/ Ethnicity",14,NA,NA
2019,"Chronic Lower Respiratory Diseases (J40-J47)","Female","Not Stated/Unknown",12,13.26626499,18.86074635
2019,"Cerebrovascular Disease (Stroke: I60-I69)","Female","Not Stated/Unknown",11,12.16074291,15.98649499
2019,"All Other Causes","Male","Other Race/ Ethnicity",10,NA,NA
2019,"Essential Hypertension and Renal Diseases (I10, I12)","Female","Not Stated/Unknown",10,11.05522083,14.64331729
2019,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)","Male","Other Race/ Ethnicity",9,NA,NA
2019,"Diabetes Mellitus (E10-E14)","Male","Other Race/ Ethnicity",9,NA,NA
2019,"Cerebrovascular Disease (Stroke: I60-I69)","Female","Other Race/ Ethnicity",9,NA,NA
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)","Female","Not Stated/Unknown",9,9.949698745,12.73357975
2019,"Cerebrovascular Disease (Stroke: I60-I69)","Male","Other Race/ Ethnicity",8,NA,NA
2019,"Influenza (Flu) and Pneumonia (J09-J18)","Female","Not Stated/Unknown",8,8.844176662,12.14778648
2019,"Certain Conditions originating in the Perinatal Period (P00-P96)","Female","Not Stated/Unknown",7,7.73865458,6.390793995
2019,"Influenza (Flu) and Pneumonia (J09-J18)","Male","Other Race/ Ethnicity",6,NA,NA
2019,"Essential Hypertension and Renal Diseases (I10, I12)","Male","Other Race/ Ethnicity",5,NA,NA
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)","Male","Other Race/ Ethnicity",5,NA,NA
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)","Male","Other Race/ Ethnicity",5,NA,NA
2019,"Essential Hypertension and Renal Diseases (I10, I12)","Female","Other Race/ Ethnicity",5,NA,NA
2019,"Influenza (Flu) and Pneumonia (J09-J18)","Female","Other Race/ Ethnicity",5,NA,NA
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)","Female","Not Stated/Unknown",5,5.527610414,6.724040882
2019,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)","Female","Not Stated/Unknown",5,5.527610414,6.979219825
2019,"Chronic Lower Respiratory Diseases (J40-J47)","Male","Other Race/ Ethnicity",4,NA,NA
2019,"Influenza (Flu) and Pneumonia (J09-J18)","Male","Other Race/ Ethnicity",4,NA,NA
2019,"Mental and Behavioral Disorders due to Use of Alcohol (F10)","Male","Other Race/ Ethnicity",4,NA,NA
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)","Male","Other Race/ Ethnicity",4,NA,NA
2019,"Chronic Liver Disease and Cirrhosis (K70, K73-K74)","Male","Other Race/ Ethnicity",4,NA,NA
2019,"Diabetes Mellitus (E10-E14)","Male","Other Race/ Ethnicity",3,NA,NA
2019,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)","Male","Other Race/ Ethnicity",3,NA,NA
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)","Female","Other Race/ Ethnicity",3,NA,NA
2019,"Assault (Homicide: U01-U02, Y87.1, X85-Y09)","Female","Other Race/ Ethnicity",3,NA,NA
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)","Female","Other Race/ Ethnicity",3,NA,NA
2019,"Alzheimer's Disease (G30)","Female","Other Race/ Ethnicity",3,NA,NA
2019,"Alzheimer's Disease (G30)","Female","Other Race/ Ethnicity",3,NA,NA
2019,"Assault (Homicide: U01-U02, Y87.1, X85-Y09)","Male","Other Race/ Ethnicity",2,NA,NA
2019,"Aortic Aneurysm and Dissection (I71)","Male","Other Race/ Ethnicity",2,NA,NA
2019,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)","Male","Other Race/ Ethnicity",2,NA,NA
2019,"Influenza (Flu) and Pneumonia (J09-J18)","Female","Other Race/ Ethnicity",2,NA,NA
2019,"Complications of Medical and Surgical Care (Y40-Y84, Y88)","Female","Other Race/ Ethnicity",2,NA,NA
2019,"Septicemia (A40-A41)","Female","Other Race/ Ethnicity",2,NA,NA
2019,"Insitu or Benign / Uncertain Neoplasms (D00-D48)","Female","Other Race/ Ethnicity",2,NA,NA
2019,"Chronic Lower Respiratory Diseases (J40-J47)","Female","Other Race/ Ethnicity",2,NA,NA
2019,"Cerebrovascular Disease (Stroke: I60-I69)","Female","Other Race/ Ethnicity",2,NA,NA
2019,"Essential Hypertension and Renal Diseases (I10, I12)","Female","Other Race/ Ethnicity",2,NA,NA
2019,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)","Female","Other Race/ Ethnicity",2,NA,NA
2019,"Viral Hepatitis (B15-B19)","Male","Other Race/ Ethnicity",1,NA,NA
2019,"Septicemia (A40-A41)","Male","Other Race/ Ethnicity",1,NA,NA
2019,"Mental and Behavioral Disorders due to Use of Alcohol (F10)","Male","Other Race/ Ethnicity",1,NA,NA
2019,"Complications of Medical and Surgical Care (Y40-Y84, Y88)","Male","Other Race/ Ethnicity",1,NA,NA
2019,"Essential Hypertension and Renal Diseases (I10, I12)","Male","Other Race/ Ethnicity",1,NA,NA
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)","Male","Other Race/ Ethnicity",1,NA,NA
2019,"Cerebrovascular Disease (Stroke: I60-I69)","Male","Other Race/ Ethnicity",1,NA,NA
2019,"Human Immunodeficiency Virus Disease (HIV: B20-B24)","Male","Other Race/ Ethnicity",1,NA,NA
2019,"Alzheimer's Disease (G30)","Male","Other Race/ Ethnicity",1,NA,NA
2019,"Cholelithiasis and Disorders of Gallbladder (K80-K82)","Male","Other Race/ Ethnicity",1,NA,NA
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)","Female","Other Race/ Ethnicity",1,NA,NA
2019,"Mental and Behavioral Disorders due to Use of Alcohol (F10)","Female","Other Race/ Ethnicity",1,NA,NA
2019,"Diabetes Mellitus (E10-E14)","Female","Other Race/ Ethnicity",1,NA,NA
2019,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)","Female","Other Race/ Ethnicity",1,NA,NA
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)","Female","Other Race/ Ethnicity",1,NA,NA
2019,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)","Female","Other Race/ Ethnicity",1,NA,NA
2019,"Septicemia (A40-A41)","Female","Other Race/ Ethnicity",1,NA,NA
2019,"Anemias (D50-D64)","Female","Other Race/ Ethnicity",1,NA,NA
2019,"Cholelithiasis and Disorders of Gallbladder (K80-K82)","Female","Other Race/ Ethnicity",1,NA,NA
2019,"Parkinson's Disease (G20)","Female","Other Race/ Ethnicity",1,NA,NA
2019,"Peptic Ulcer (K25-K28)","Female","Other Race/ Ethnicity",1,NA,NA
